id,index,text,labels,label_code,pred_labels
11,22415601_s13,"CONCLUSIONS The current results indicated that HER4 protects NBL cells from multiple exogenous apoptotic stimuli , including anoikis , nutrient deficiency , and cytotoxic chemotherapy .",resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
12,22428047_s2,"More than a metabolic waste , the lactate anion is known to participate to cancer aggressiveness , in part through activation of the hypoxia-inducible factor-1 ( HIF-1 ) pathway in tumor cells .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
13,23241438_s4,Results showed that down-regulation of heparanase led to significant inhibition of invasive and proliferative potentials of A549 cells in vitro and in vivo .,activating invasion and metastasis,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
14,23261678_s2,"These variations could be diet-related , since there are several carcinogenic compounds in the modern diet , while natural products contain various anti-cancer elements .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
15,20205718_s1,DSB repair competence determines the sensitivity of cells to these agents whereby aberrations in the repair machinery leads to apoptosis .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
16,23317208_s5,Cases with involvement of four or more lymph nodes had a poorer prognosis than those with involvement of three or fewer lymph nodes ( P&lt;0.05 ) .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
17,20331621_s5,It caused G2/M cell-cycle arrest that was accompanied by the down-regulation of cyclin-dependent kinase 1 ( CDK1 ) and up-regulation of p21 expression .,evading growth suppressors,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],[]
18,1378293_s10,"Cytogenetic analysis showed polysomy 7 , structural rearrangement of chromosome 10 short arm and a translocation 13q13-q14 without detectable alteration of the RB gene .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
19,12588700_s4,"Baseline DNA damage , susceptibility to oxidant attack ( 100 mumol/l H2O2 for 5 min at 4 degrees C ) , and disappearance of DNA single-strand breaks ( SSB ) after oxidative challenge were monitored by single-cell gel electrophoresis .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
20,11980654_s13,The effects of CD70-expressing glioma cells on PBMCs were mimicked by agonistic CD27 antibodies .,resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
21,12641820_s1,Insulin-like growth factor-I ( IGF-I ) is known to stimulate collagen biosynthesis through interaction with IGF-I receptor .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
22,21120602_s13,These results provide evidence that drugs that stimulate the production of unliganded ERÎ² may be effective new therapies to prevent breast cancer .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
23,23064360_s7,These results demonstrate that TNFR-2 signaling promotes MDSC survival and accumulation and helps tumor cells evade the immune system .,tumor promoting inflammation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[]
24,23429262_s7,"This prevents CDK4/6 kinases ' activation , impairs downstream events such as cyclin E stimulation and sequesters cells in early G1 .",sustaining proliferative signaling,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[]
25,22987071_s1,"Consistent with this role , p21 is a downstream target of several tumour suppressors and oncogenes , and it is downregulated in the majority of tumours , including breast cancer .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
26,22605917_s6,The best signal was obtained with CL-ICG .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
27,23458731_s5,Only within the context of a BCR-ABL1 positive cell does STAT5 transcriptionally regulate a target gene or set of genes that causes the enhanced ROS production .,tumor promoting inflammation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[]
28,20980434_s9,"In summary , our findings offer a proof of concept for targeting OPN and its downstream p38 signaling as a novel therapeutic strategy to manage cervical cancer .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
29,20332242_s4,The growth-promoting effects of BJ3Z cells are equivalent to those of estradiol ( E(2) ) .,sustaining proliferative signaling,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[]
30,22272768_s9,"The APAP-induced increase in expression of pro-apoptotic genes ( Bax , caspase-3 ) decreased while expression of anti-apoptotic genes ( Bcl-XL ) increased in CUR preexposed mouse livers , and these changes were mirrored in the pattern of apoptotic and necrotic cell deaths .",resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
31,11976323_s1,We have found that primary human keratinocytes undergo an apoptotic response to UVB .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
32,21116096_s1,"Because of the close association with DNA double strand break ( DSB ) repair , phosphorylation of the histone H2AX protein ( Î³H2AX ) , quantified by immunodetection , has recently been used as a method to study DSB induction and repair at low and clinically relevant radiation doses .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
33,20200484_s2,"Some phenomenon hints that HPV E7 protein can enhance p27 expression , which is contradictory to HPV E7's property of increasing cell proliferation rate .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
34,22710435_s4,"Mass spectrometry results showed a complex pattern of MnSOD-methylation at both lysine ( 68 , 89 , 122 , and 202 ) and arginine ( 197 and 216 ) residues .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
35,12136428_s0,We have recently developed surface-shielded transferrin-polyethylenimine ( Tf-PEI)/DNA delivery systems that target reporter gene expression to distant tumors after systemic application .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
36,12383904_s5,RESULTS Forty patients were treated for IPC during the study period .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
37,12065244_s4,Nuclear fragmentation analysis and cell proliferation assays completed in the presence of the pan-caspase inhibitor benzyloxycarbonyl-Val-Ala-Asp(OMe)-fluoromethylketone excluded apoptosis as the responsible mechanism .,resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
38,12484548_s4,"Two versions of the comet assay , a sensitive method for evaluating DNA damage , were implemented : the alkaline one to detect single-strand breaks , and the neutral one to identify double-strand breaks .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
39,11774243_s5,Adoptive transfer of splenocytes immunized toward HBsAg prevented tumor growth .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
40,22266866_s8,"Ectopic expression of Bcl-2 , c-Myc and Id1 had little or no effect on RASSF1A-mediated growth arrest , indicating that RASSF1A acts dominantly over these oncogenes .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
41,20881612_s5,"Additionally , HR resulted in the appearance of binucleated cells , and VE-cadherin in colocalization with b-catenin was found to be positioned between the separating nuclei .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
42,12572356_s6,It is concluded that the induction of cell cycle arrest may be an important mechanism of tea on cancer prevention .,"evading growth suppressors,sustaining proliferative signaling",[0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],[]
43,12636105_s10,"The increasing effect of both DCA and UDCA on PhIP-induced DNA adduct formation was unexpected , and was not directly associated with ACF formation .",genomic instability and mutation,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],[]
44,22362593_s8,These data suggest that MCT4 may serve as a novel metabolic target to reverse the Warburg effect and limit disease progression in ccRCC .,cellular energetics,[0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],[]
45,20501860_s7,Resveratrol also elevated the protein and mRNA expression of hepatic nuclear factor E2-related factor 2 ( Nrf2 ) .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
46,12429650_s0,PURPOSE Osteosarcoma is an aggressive primary bone cancer characterized by expression of platelet-derived growth factor ( PDGF ) and its cognate receptor .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
47,20333679_s0,It has been shown that injecting a suspension of IFN-Î³-secreting tumor cells results in their rejection .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
48,12473065_s1,"Moreover , from an oncological perspective , therapeutic approaches selectively targeting apoptosis of malignant cell types while sparing normal keratinocytes in surrounding skin is desirable .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
49,22888341_s8,The intratumoral microvessel density was higher in normal saline group than in N-desulfated heparin group ( P &lt ; 0.05). bFGF expression in gastric tissue was inhibited by N-desulfated heparin ( P &lt ; 0.05 ) .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
50,23083134_s9,"Co-stimulation with EGF and IL-1Î² synergistically increased ERK1/2 and AP-1 activation , cell migration and invasion , and MMP-9 expression and activity .",activating invasion and metastasis,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
51,23264393_s4,"In addition , treatment with PI3K inhibitors 3-MA or wortmannin , as well as knockdown of Beclin 1 expression , was unable to affect autophagic responses mediated by proteasome inhibitors .",resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
52,23212913_s8,The inhibition of miR-490-3p reduced the expression of ERGIC3 .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
53,19960020_s9,"Incubation with hydrogen peroxide alone caused a significant increase in Ang II-forming activity , which was completely suppressed by co-treatment with catalase .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
54,23267699_s12,Real-time PCR array analysis showed between Test group and control group there are 32 genes significantly up-regulated and 54 genes were significantly down-regulated after YM155 treatment .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
55,22776956_s9,"The Î²(2)-AR-deficient U87MG cells were refractory to Fen , but responsive to the antiproliferative actions of MNF and WIN 55,212-2 .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
56,12509290_s8,"There is no observable TCR of these lesions in specific genes in DNA repair proficient cells ; however , it is possible that the rapid repair of these adducts by BER masks any TCR .",genomic instability and mutation,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],[]
57,20110254_s2,"Fluorescence was detected when the phosphodiester linkage at the damage site was cleaved by the enzyme , because the short fragment bearing the fluorophore could not remain in a duplex form hybridized to the rest of the molecule at the incubation temperature .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
58,20851879_s7,The levels of fibronectin and IGFBP-3 within breast tumors may determine their dependence on EGFR and their response to therapies targeting this receptor .,sustaining proliferative signaling,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[]
59,12453272_s6,"Furthermore , ahTR-transfected cells displayed decreased invasive capacity in Borden's chamber invasive model , increased G0/G1 phase rate and apoptotic rate .","activating invasion and metastasis,resisting cell death",[1. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
60,22427941_s10,Activation of ERK1/2 in HaCaT cells and tumorigenic Ha-ras-transformed HaCaT cells resulted in downregulation of MMP-13 and KGFR expression .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
61,20223349_s7,The architecture was frequently of a mixed type ( 26/30 ) and less often solid ( 4/30 ) .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
62,22742931_s1,"Major risk factors of HCC include infection with hepatitis B or C viruses , alcohol and non-alcoholic fatty liver disease .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
63,22652558_s1,"In this study , the long-term effects of two anti-estrogens , namely 4-hydroxytamoxifen and fulvestrant ( or ICI182,780 ) , were investigated in ERÎ±-positive BG1 epithelial ovarian cancer cells .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
64,1384375_s2,"At the time of discovery of metastatic disease , the patients , six women and five men , ranged in age from 20 to 83 years .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
65,22108827_s2,"Such castration-resistant prostate cancer represents a major clinical challenge , and the mechanisms underlying castration resistance are not fully understood .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
66,23272179_s7,"Macrophages infiltrated the lamina propria and submucosa , together with a marked increase in neutrophil infiltration .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
67,23342249_s0,Epithelial-mesenchymal transition ( EMT ) is a critical process providing tumor cells with the ability to migrate and escape from the primary tumor and metastasize to distant sites .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
68,20392992_s1,"The effects of inhibiting glycolysis using metabolic inhibitors iodoacetate ( IAA ) , an inhibitor of GAPDHase , and 3-bromopyruvate ( 3BP ) , an inhibitor of hexokinase-II , on survival and signaling of pancreatic cancer cells ( Panc-1 ) were investigated .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
69,20364579_s3,RESULTS There was pol beta deletion in pol beta -/- cells and the level of pol beta mRNA and protein in pol beta oe cells was twice higher than that in pol beta +/+ cells .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
70,20363723_s10,"In contrast , in MCF 7 cells , molecular iodine ( 100 microM ) inhibited growth from 100% to 83% but delta-iodolactone ( 1 , 5 and 10 microM ) dose-dependently decreased growth rate from 100% to 82% and 62% , respectively .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
71,22847613_s4,"Loss of an endogenous p53 mutation increased the expression of miR-130b , which resulted in reduced ZEB1 expression and attenuation of the EMT phenotype .","activating invasion and metastasis,genomic instability and mutation",[1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],[]
72,12429650_s10,There was no significant difference in tumor size between treatment and control mice .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
73,23226467_s2,"However , the role of autophagy in oxaliplatin-induced cell death remains to be clarified .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
74,23233419_s10,"Low-dose gemcitabine therapy selectively depletes Treg , providing a basis for new modalities of PDAC therapy .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
75,22272768_s3,"However , very few studies have examined its ability to protect against drug-induced organ injury .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
76,22768158_s4,"RNAi-based OCT4 knock down mediated differentiation resulted in the activation of the poised OXPHOS machinery by expressing missing key proteins such as NDUFC1 , UQCRB and COX , increase in TCA cycle activity and decreased lactate metabolism .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
77,1463101_s8,Our data also suggest that IL-1 may have a central role in regulating the local immune response through the enhancement or induction of cytokine production by tumor and/or resident tissue cells .,avoiding immune destruction,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[]
78,12195297_s1,"We established an experimental system and reported recently that autophagic capacity , measured as the cell's capability of increasing segregation ( formation of autophagosomes ) and subsequent degradation of cytoplasmic quanta were highly increased in premalignant nodule cells 6 months after initiation by azaserine in the rat pancreas in vivo .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
79,23065281_s11,The expression of the ZEB1 gene in LSCC tissues is downregulated with the expression of E-cadherin .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
80,23327050_s1,"MTT method and flow cytometry were used to investigate the effect of cisplatin , OCT or the combination of these two compounds on the proliferation and apoptosis of SKOV3-DDP cells .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
81,23251575_s6,HR-defective tumors cells are known to be sensitive to the treatment with poly(ADP-ribose) polymerase ( PARP ) inhibitor .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
82,22840462_s3,"MATERIALS AND METHODS : Microvessel proliferation was evaluated in 178 breast cancer samples and estimated by vascular proliferation index ( VPI ) , the ratio between the number of vessels containing proliferating endothelial cells and the total number of immature vessels .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
83,1467515_s5,"Differentiation induced by the growth factors took 24 to 48 hours to begin , and increased with cell passages to a plateau at 2 weeks of culture .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
84,24112101_s1,"As in ovarian cancer cells , increased metabolic activity and glucose concentration has been linked to aggressiveness of cancer .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
85,22489696_s4,"Its overexpression was associated with poor differentiation , lymph node metastasis , poor prognosis , and the level of CA199 , MMP-9 , estrogen receptor .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
86,20064835_s5,"Their bioinformatic analysis indicated that biological functions linked to immunity , inflammation , and cell death were among the most affected by BaP in human macrophages and that the AhR and p53 signaling pathways were the most significant canonical pathways activated by the PAH .",tumor promoting inflammation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[]
87,22851646_s2,Inbred Chaos3 mice exhibit high levels of genomic instability leading to mammary tumors that have tumor gene expression profiles closely resembling mature human mammary luminal cell signatures .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
88,23300633_s9,CD31 and CD34 immunohistochemical staining further revealed that the microvessel density could be remarkably suppressed by luteolin .,inducing angiogenesis,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],[]
89,20355335_s3,The RuvB-like proteins TIP48 and TIP49 are known to be necessary for the assembly and functional activity of the TIP60 acetyltransferase complex .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
90,22589701_s1,Here we report that induction of mitochondrial respiratory defect by tetracycline-controlled expression of a dominant negative form of DNA polymerase γ causes a metabolic shift from oxidative phosphorylation to glycolysis and increases ROS generation .,"cellular energetics,tumor promoting inflammation",[0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],[]
91,23205094_s11,"Hypoxia caused a siginificant desensitization of the Î²2AR in COS1NR cells alone , whereas MSCs may support tumor progression through cellular interactions .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
92,23274518_s2,"However , through the same pathway GPR30 expression has been shown to be induced by EGF , an EGFR ligand .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
93,20686220_s6,Flow cytometry analysis revealed that a G1 phase arrest accounted for the reduction in proliferation in the antisense gene-transfected cells ; increased apoptosis was also detected ( p&lt;0.01 ) .,evading growth suppressors,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],[]
94,21338203_s3,"OGG1 Exon 7 ( C1245G ) , XPC Intron 9 ( PAT ) , and Exon 15 ( A33512C ) in a North Indian population in comparison with global populations .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
95,21462328_s1,METHODS AND RESULTS Athymic nude mice were implanted subcutaneously with human androgen-independent prostate carcinoma PC-3 cells .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
96,22179576_s6,"Furthermore , we show that Hsp27 regulation of PEA-15 activity occurs in an Akt-dependent manner .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
97,12142967_s6,While in the group with the carcinogen there was an enhancement in the IgG(+) B cells ( P&lt;0.01 ) and CD8(+) T cells ( P&lt;0.01 ) .,tumor promoting inflammation,[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],[]
98,24477458_s3,"As described herein , we found that aberrant expression of the proinflammatory protein transglutaminase 2 ( TG2 ) is an important regulator of the Warburg effect in mammary epithelial cells .","cellular energetics,tumor promoting inflammation",[0. 0. 1. 0. 0. 0. 0. 0. 0. 1.],[]
99,12473681_s9,"The presence of ( R)-HNE and ( S)-HNE epitopes in vivo was immunohistochemically examined in the kidney of rats exposed to the renal carcinogen , ferric nitrilotriacetate , by which nuclear and cytosolic stainings with mAbR310 and mAbS412 , respectively , were detected .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
100,22209867_s5,"We examined the growth inhibitory effect of HS-ASA via alterations in cell proliferation , cell cycle phase transitions , and apoptosis , using MDA-MB-231 cells as a model of triple negative breast cancer .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
101,23137536_s2,"Four miRNAs ( miR-186 , miR-216b , miR-337-3p , and miR-760 ) were predicted to be miRNAs against CKIIÎ± mRNA .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
102,22530037_s9,"Assay of angiogenic factors , using an antibody array , showed VEGF , MMP-9 , Angiopoietin1/2 , Tissue Factor and FGF-1 expression were dramatically reduced in LLL12-treated tumors compared to control tumors .",inducing angiogenesis,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],[]
103,12513808_s5,"Condensed nuclei , fragmentation of chromosome and DNA ladder were seen after 6 hour following treatment of MTX 5 micro mol/L .",resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
104,1433571_s5,"Enlargement of the regional lymph nodes ( weight and number of cells ) , and increase of MHC Class II expression on the lymph node cells , normally observed after intravesical BCG administration , were inhibited by INH .",avoiding immune destruction,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[]
105,20385015_s5,"Susceptibility to V2O5-induced pulmonary inflammation was assessed in bronchoalveolar lavage fluid ( BALF ) , and chemokines , transcription factor activity , and MAPK signaling were quantified in lung homogenates .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
106,22825757_s0,"Although interleukin-28A ( IL-28A ) is believed to have an antiviral effect , its role in tumor migration requires further examination .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
107,24068038_s12,The aromatase inhibitor letrozole abolished arsenic-induced increases in 17Î²-estradiol production and reversed cancer cell phenotype .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
108,22159410_s2,Reactive oxygen species ( ROS ) were assessed by the fluorescent indicator DCF-DA .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
109,24366173_s1,"The present study investigated whether ALA disrupts the Warburg effect , which represents a shift in ATP generation from oxidative phosphorylation to glycolysis , protecting tumor cells against oxidative stress-mediated apoptosis .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
110,23274302_s2,We demonstrated a highly depolymerizing effect on in vitro tubulin assembly and conclude that PDA-66 acts as microtubule destabilising agent .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
111,22838389_s5,"METHODS We sequenced the coding exons of MACC1 in 154 colorectal tumors ( stages I , II and III ) and the crucial exons of Met in 60 colorectal tumors ( stages I , II and III ) .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
112,23168911_s1,"Dietary DHA and EPA can be converted to their ethanolamine derivatives , docosahexaenoyl ethanolamine ( DHEA ) and eicosapentaenoyl ethanolamine ( EPEA ) , respectively ; however , few studies are reported on their anticancer activities .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
113,22438805_s6,The N- and C-terminal domains of EBNA3C form a stable pRb independent complex with the N-terminal DNA-binding region of E2F1 responsible for inducing apoptosis .,resisting cell death,[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],[]
114,12473681_s7,"On the other hand , using ( R)-HNE-modified and ( S)-HNE-modified keyhole limpet hemocyanins as the antigens , we raised the monoclonal antibodies , mAbR310 and mAbS412 , which enantioselectively recognized the ( R)-HNE-histidine and ( S)-HNE-histidine adducts , respectively .",genomic instability and mutation,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],[]
115,23274568_s11,"A marked decrease in the expression of mesenchymal markers such as Fibronectin , N-cadherin , SNAI , Slug and Twist and an increase in epithelial cell polarity marker E-cadherin were noted in NO-sulindac-treated tumors .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
116,23241743_s1,"In mouse models of cancer , T(regs) have been reported to suppress inflammation and protect the host , suppress T cells and protect the tumor , or even have direct cancer-promoting attributes .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
117,23266736_s4,"Rather , combined treatment with subeffective doses of Î³-tocotrienol and sesamin was found to induce G1 cell cycle arrest , and a corresponding decrease in cyclin D1 , CDK2 , CDK4 , CDK6 , phospho-Rb , and E2F1 levels , and increase in p27 and p16 levels .","evading growth suppressors,sustaining proliferative signaling",[0. 0. 0. 0. 1. 0. 0. 0. 1. 0.],[]
118,22415601_s10,"In NBL spheres compared with monolayers , cell proliferation was decreased , and cyclin D expression was reduced .",sustaining proliferative signaling,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],[]
119,23248097_s5,Vaccine-elicited MUC1-specific immune response and immune memory were not associated with significant toxicity .,avoiding immune destruction,[0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],[]
120,20432174_s9,"Finally , low Pi increased lung tumorigenesis in K-ras(LA1) mice compared to the normal diet group .",,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
121,22715397_s3,"In other words , overexpression of MRGD in NIH3T3 induced the loss of contact inhibition , anchorage-independent growth and in vivo tumorigenesis .",evading growth suppressors,[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],[]
122,20423312_s5,"Here , we provide an overview about DSBs damage response , focusing on the role of the DSBs repair mechanisms , of chromatin modifications , and of the cancer susceptibility gene BRCA1 which plays a multifunctional role in controlling genome integrity .",genomic instability and mutation,[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],[]
123,19308738_s14,Higher expression of ferritin in tumor tissue may be the consequence of iron deficiency or local toxicity induced by environmental factors .,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[]
124,23028886_s6,Inhibition of ERK activity by U0126 suppressed DV-induced expression and secretion of VEGR in BECs .,inducing angiogenesis,[0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],[]
